Num_2017_0,Num_2017_1,Num_2017_2,Num_2017_3,Num_2017_4,Num_2017_5,Num_2017_6,Num_2017_7,Num_2017_8,Num_2017_9,Num_2017_10,Num_2017_11,Num_2017_12,Num_2017_13,Num_2017_14,Num_2017_15,Num_2017_16,Num_2017_17,Num_2017_18,Num_2017_19,Num_2017_20,F_2017_0,F_2017_1,F_2017_2,F_2017_3,F_2017_4,F_2017_5,F_2017_6,F_2017_7,F_2017_8,F_2017_9,F_2017_10,F_2017_11,F_2017_12,F_2017_13,F_2017_14,F_2017_15,F_2017_16,F_2017_17,F_2017_18,F_2017_19,Bsp_1982,Bsp_2001,Bsp_2016,Rec_1982,Rec_2001,Bloss
8821310,3802170,2484290,3066350,496183,781509,111303,232494,189448,684238,203959,69616.2,73103.7,63719.3,34919.9,37257.7,184803,21012.2,15930.6,9533.17,27788.6,0.00259300000000001,0.024413,0.042672,0.062695,0.081377,0.096757,0.108209,0.116067,0.121124,0.124231,0.126088,0.127186,0.127836,0.128226,0.128465,0.128615,0.128712,0.128776,0.128819,0.128884,2401870,902776,589105,51846600,17685900,579158
4805240,3794220,1745100,1805940,430221,900729,108871,187160,234706,709884,205845,92746.7,77849.2,76390.6,47762.5,54271.8,275879,28372.7,31280,20768.8,67917.5,0.00139500000000001,0.016839,0.034471,0.054646,0.073013,0.087118,0.096602,0.102353,0.105593,0.107346,0.108281,0.108785,0.109064,0.109223,0.109317,0.109376,0.109413,0.109438,0.109455,0.10948,2409160,1333150,776982,52134100,15904500,736526
8186890,4681800,2719790,2808540,492125,1151690,178741,293860,200180,962181,232976,93835.9,125563,137652,88609.3,82481.1,511628,67474.9,40901,45375.8,158562,0.001163,0.012539,0.027547,0.04243,0.05306,0.059051,0.061936,0.063224,0.063794,0.064055,0.064181,0.064247,0.064283,0.064305,0.064318,0.064326,0.064332,0.064336,0.064339,0.064343,2666180,1697290,1174860,56565900,18125700,1142820
8340340,3273380,2180770,2519560,684060,941684,178850,215204,269565,989520,227907,95926.8,80785.1,96916.3,80292.6,51174.8,348953,41813.8,43935.8,24917.8,86962.3,0.001222,0.014105,0.029208,0.046051,0.060599,0.070898,0.077088,0.080349,0.081914,0.082626,0.082947,0.083093,0.083162,0.083196,0.083214,0.083224,0.08323,0.083234,0.083236,0.083239,2802730,1326580,952922,50131200,16727900,929498
5147260,3092050,1730260,2129830,453524,851928,118095,239448,196135,911438,309814,82776.2,74328.4,114884,50695.7,66633.4,333261,37041.4,40796.5,27471.3,101626,0.001218,0.013933,0.029848,0.047727,0.063276,0.074503,0.081534,0.085494,0.08758,0.088649,0.089198,0.089488,0.089647,0.089739,0.089794,0.089828,0.089851,0.089866,0.089877,0.089892,2079820,1470640,940848,46321200,15479200,893049
7225970,2888300,1842960,1993570,328645,795048,135669,103378,178873,514558,126699,44661.8,27524.4,47243.9,14761.6,19144.8,103256,10371.7,8600.44,4096.56,13770.4,0.003609,0.031833,0.058907,0.089582,0.118503,0.142108,0.159223,0.170455,0.177253,0.181129,0.183259,0.184411,0.185035,0.185379,0.185573,0.185685,0.185753,0.185795,0.185822,0.18586,1944700,849202,442560,54718000,16774800,419014
6645630,3424820,1685000,2107510,572042,842021,216486,162128,236771,602021,146490,53670.2,42726.5,59089.9,31429.1,20420.9,143723,15891.4,12865.7,9493.5,22128,0.00342200000000001,0.026383,0.045161,0.065694,0.085172,0.101819,0.114983,0.124792,0.13178,0.1366,0.139855,0.142034,0.143491,0.144474,0.145145,0.14561,0.145939,0.146176,0.146349,0.146621,1989940,934286,572479,48915400,15747200,562938
9253620,3057900,2075900,2433450,393150,919927,166843,157384,288170,862992,249177,109079,73919,119979,62996.5,64907.2,431659,44370.7,48973.1,31605.2,130182,0.00142400000000001,0.013386,0.027705,0.043168,0.05614,0.065185,0.070652,0.073619,0.075123,0.075864,0.076231,0.076418,0.076517,0.076573,0.076605,0.076625,0.076638,0.076646,0.076652,0.076661,2606480,1610200,1063740,49336200,16905100,1018020
2976080,2628530,1477730,1662680,323152,958805,86896,169034,138052,493296,186869,68726.5,34282.2,53269.1,24928.6,24659.6,162791,14906.4,14835.7,8354.39,26721.7,0.00270200000000001,0.028089,0.052877,0.080984,0.107301,0.128531,0.143704,0.153517,0.159387,0.162715,0.164546,0.165546,0.166096,0.166406,0.166584,0.166691,0.166758,0.1668,0.166828,0.166867,2228160,976950,518554,51557000,17588700,487193
4856150,3180010,2193990,2129190,522956,1187910,89199.1,209242,219694,791981,240755,99341.4,78170.8,99095.7,48517,48046.8,243739,28822.6,22990.9,13273,50825.1,0.00192400000000001,0.018142,0.033648,0.051098,0.067471,0.080849,0.090638,0.097173,0.101219,0.103586,0.104921,0.105664,0.106077,0.106311,0.106446,0.106527,0.106577,0.106609,0.10663,0.10666,1969090,1116290,779434,50752200,16145800,760918
